acid,epoxide,tg_md
COc1cccc(CN(CCOCCOCC(=O)O)CCOCC(=O)O)c1,C(COCCCOCCCOCCCOCC1CO1)COCCCOCCCOCC1CO1,293.3077
CN(CCCCCN(C)CCOCC(=O)O)CCOCC(=O)O,C(COCC1CO1)OCCN1CCN(CCOCCOCC2CO2)CC1,312.3007
O=C(O)CCOCCOCCOCCOCCOCCOCCC(=O)O,c1ccc(CCOCCCN(CCOCC2CO2)CCOCC2CO2)cc1,298.8833
CN(CCCCCOCC(=O)O)CCCOCC(=O)O,C(CCCCCCCCCOCC1CO1)CCCCCCCCCOCC1CO1,295.3495
CCCCCCCCCCCCN(CCOCC(=O)O)CCOCC(=O)O,CCCCCCCCCCCCCCCCCCCc1cc(OCC2CO2)cc(OCC2CO2)c1,301.1705
CN(CCCOCC(=O)O)C1CCN(CCCOCC(=O)O)CC1,CCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,307.1733
CCCCCCCCCCCCCCCN(CCOCC(=O)O)CCOCC(=O)O,C(CNCC1CO1)CNCC1CO1,307.0001
O=C(O)COCCOCCOCCNCCOCCOCCOCC(=O)O,c1ccc(CN(CCCCCOCC2CO2)CCCOCC2CO2)cc1,300.3978
O=C(O)CCOCCOCCOCCOCCOCCC(=O)O,C(CCOCCCOCC1CO1)COCCCOCC1CO1,305.6407
CCCCOCCN(CCOCC(=O)O)CCOCC(=O)O,c1ccc(CN(CCCOCC2CO2)CCOCCOCC2CO2)cc1,301.9102
O=C(O)COCCCOCCCOCCCOCCCOCC(=O)O,COc1ccc(OCCN(CCCOCC2CO2)CCOCC2CO2)cc1,302.7958
CCCN(CCCCCCOCC(=O)O)CCOCC(=O)O,CN(CCCCOCC1CO1)Cc1ccc(CN(C)CCCCOCC2CO2)cc1,305.2586
COc1cc(CN(CCOCC(=O)O)CCOCC(=O)O)ccc1C,C(=CCCCCCCCCOCC1CO1)CCCCCCCCOCC1CO1,314.8498
O=C(O)COCCOCCCCOCCOCC(=O)O,CN(CCCCCOCC1CO1)CCCCCOCC1CO1,314.6702
O=C(O)COCCN(CCOCC(=O)O)Cc1ccc(CN2CCCCC2)cc1,CCCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,289.5310
COc1ccc(CN(CCC(=O)O)CC(=O)O)c(C)c1OC,CCCCCCCCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,301.9277
CN(CCCCCC(=O)O)CCCCCC(=O)O,CCN(CCCCCCCOCC1CO1)CCOCC1CO1,301.2290
O=C(O)COCCNCCNCCNCCNCCNCCOCC(=O)O,Nc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,317.9713
CN(CCCCCOCC(=O)O)CCOCCOCC(=O)O,COCc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1,306.5396
O=C(O)COCCCCCCCCCCCCCCCOCC(=O)O,CCCCCOc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,310.0001
COC(=O)CCCOC(COCC(=O)O)COCC(=O)O,C(COCCOCCOCCOCC1CO1)OCCOCCOCCOCC1CO1,312.1120
O=C(O)COCCN(CCOCC(=O)O)Cc1ccc(OCc2ccccc2)cc1,C(COCCOCCOCC1CO1)OCCOCCOCCOCC1CO1,309.7069
CCN(CCCCOCC(=O)O)CCOCCOCC(=O)O,c1cc(CN(CCOCC2CO2)CCOCC2CO2)ccc1CN1CCOCC1,319.9087
O=C(O)COCCOCCN(CCOCC(=O)O)CCC1CCCCC1,Cc1ccccc1CN(CCOCCOCC1CO1)CCOCC1CO1,325.6504
CCOc1ccc(CN(CCCOCC(=O)O)CCOCC(=O)O)cc1,C(CCCCCCCCOCC1CO1)CCCCCCCOCC1CO1,321.3190
COC(=O)CCN(CCCOCC(=O)O)CCOCC(=O)O,CCCCCCN(CCCOCC1CO1)CCOCC1CO1,340.1046
O=C(O)CCCOCCCCC(=O)NC1CCN(CCOCCC(=O)O)CC1,CCCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,319.9993
O=C(O)COCCCOCCCOCCCOCCCOCCCOCCCOCC(=O)O,c1cc(OCCN2CCCC2)ccc1CN(CC1CO1)CC1CO1,306.6420
CCCCCCCCN(CCOCC(=O)O)CCOCC(=O)O,CCCCCCCc1cc(OCCOCC2CO2)ccc1OCCOCC1CO1,335.6922
CN(CCOCCN(C)CCC(=O)O)CCC(=O)O,CCCOc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,301.4445
O=C(O)COCCCN(CCOCC(=O)O)Cc1ccccc1OC1CCCC1,CCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,314.2532
O=C(O)COCCOCCOCCOCCOCCOCCOCCOCC(=O)O,CCCOc1ccc(CNC(=O)CN(CCCOCC2CO2)CCOCC2CO2)cc1,311.9537
O=C(O)COCCN(CCCC1CCCC1)CCOCC(=O)O,CCCOc1ccc(OCCN(CCCOCC2CO2)CCOCC2CO2)cc1,289.3770
CNC(=O)CCN(CCOCC(=O)O)CCOCC(=O)O,C(COCCOCCOCC1CO1)OCCOCCOCC1CO1,320.3080
CCN(CCOCCOCC(=O)O)CCOCC(=O)O,COc1ccc(CN(CCCOCC2CO2)CCCOCC2CO2)cc1,316.5830
O=C(O)COCCCN(CCCN1CCOCC1)CCOCC(=O)O,CCOc1ccc(CN(CCOCC2CO2)CCOCC2CO2)cc1OC,331.4758
O=C(O)COCCOCCOCCOc1ccccc1OCCOCCOCC(=O)O,COc1cc(C)ccc1CN(CCCOCC1CO1)CCOCC1CO1,325.1595
CCCN(CCOCC(=O)O)Cc1cccc(CN(CCC)CCOCC(=O)O)c1,COc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1OC,320.9457
O=C(O)COCCCCCCCCCCCCCCCCCCCOCC(=O)O,CCCCN(CC1CO1)CC1CO1,309.8891
O=C(O)COCCN(CCOCC(=O)O)CCOC1CCC1,C(CCCOCC1CO1)CCCN1CCC(CCCOCC2CO2)CC1,315.6044
CCCCCCN(CCOCC(=O)O)CCOCC(=O)O,CCCc1cccc(CN(CCOCC2CO2)CCOCC2CO2)c1,319.9106
CN(CCCCOCC(=O)O)Cc1cccc(CN(C)CCCCOCC(=O)O)c1,Cc1cccc(OCCN(CCOCC2CO2)CCOCC2CO2)c1,335.1581
CCCCCCCCCCCCN(CCOCC(=O)O)CCOCC(=O)O,c1ccc(COCC(CCOCC2CO2)CCOCC2CO2)cc1,300.2725
NCCN(CCCOCC(=O)O)CCCOCC(=O)O,COCCOc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,326.1808
CC(C)CCN(CCOCC(=O)O)CCOCC(=O)O,CCCCOc1cc(CN(CCCOCC2CO2)CCOCC2CO2)ccc1OC,320.0481
O=C(O)CCOCCOCCOCCOCCOCCOCCOCCOCCC(=O)O,CCCCCCCCN1CCc2cc(OCC3CO3)c(OCC3CO3)cc2C1,315.1652
CCOc1c(OC)cc(CN(CCCOCC(=O)O)CCOCC(=O)O)cc1OC,c1ccc(OCCOCCOCC2CO2)c(OCCOCCOCCOCC2CO2)c1,311.3972
O=C(O)CCN(CCC(=O)O)CC1CCCCC1,C(CCCCCCCCOCC1CO1)CCCCCCCCOCC1CO1,326.4338
CCCCCCCCCCCCCCN(CCOCC(=O)O)CCOCC(=O)O,O=C(COCCC1CO1)N1CCCN(CCCC2CO2)CC1,314.0283
CCCCCCCCNC(CC(=O)O)C(=O)O,CCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,313.4047
CN(CCCCCOCC(=O)O)Cc1ccc(COCC(=O)O)o1,CCCCCCN(CCCOCC1CO1)CCOCC1CO1,297.4907
O=C(O)COCC1CCN(CCCCCCN2CCC(COCC(=O)O)CC2)CC1,C(CCCCCCCCOCC1CO1)CCCCCCCCOCC1CO1,325.8325
O=C(O)COCCCCN(CCOCCOCC(=O)O)C1CC1,COc1ccc(OCCN(CCCOCC2CO2)CCOCC2CO2)cc1,301.1610
CNCCCN(CCCOCC(=O)O)CCOCC(=O)O,Cc1ccc(CCCN(CCCOCC2CO2)CCOCC2CO2)cc1,317.9763
O=C(O)COCC(COCC(=O)O)NCCCOc1ccc2ccccc2c1,C(COCCCOCCCOCCCOCC1CO1)COCCCOCCCOCC1CO1,302.6572
O=C(O)CCCCCCCC=CCCCCCCCC(=O)O,Cc1ccc(CCCN(CCCOCC2CO2)CCOCC2CO2)cc1,291.3613
O=C(O)COCCCCCCc1cn(CCOCC(=O)O)nn1,C(CCCCCCCCCCOCC1CO1)CCCCCCCCCOCC1CO1,304.9796
O=C(O)COCCN(CCOCC(=O)O)Cc1ccc2c(c1)CCCO2,C(CCCCCCCCCOCC1CO1)CCCCCCCCCOCC1CO1,315.3245
CN(CCCCN(C)CCOCC(=O)O)CCOCC(=O)O,C(CCN1CCC(COCC2CO2)CC1)COCC1CO1,318.1078
O=C(O)CCOCCCC(=O)N1CCCN(CCC(=O)O)CC1,CCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,318.7702
CCN(CCCCC(=O)O)CCN(C)CCC(=O)O,C(CN1CCN(CCOCC2CO2)CC1)OCC1CO1,294.2941
O=C(O)COCCCCCCN1CCC(CCCOCC(=O)O)CC1,C(CCOCCOCC1CO1)COCCOCC1CO1,336.2446
O=C(O)COCCCCN1CCC(CCOCC(=O)O)CC1,C(CCCCCCCOCC1CO1)CCCCCCOCC1CO1,318.7939
CCCOc1ccc(OCCN(CCCOCC(=O)O)CCOCC(=O)O)cc1,CCCc1cccc(CN(CCCOCC2CO2)CCOCC2CO2)c1,343.7957
CCCCCOc1ccc(CN(CCCOCC(=O)O)CCOCC(=O)O)cc1,C(CCCCOCC1CO1)CCCCOCC1CO1,323.3169
O=C(O)COCCN(CCOCC(=O)O)CCOCC1CCCC1,COc1cc(CN(CCCOCC2CO2)CCOCC2CO2)ccc1C,313.3364
CCCN(CCCCCCOCC(=O)O)CCOCC(=O)O,c1ccc(CN(CCCOCC2CO2)CCCOCC2CO2)cc1,317.8384
CCCCCOc1ccc(CNC(CCCC(=O)O)C(=O)O)cc1,CCCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,308.3481
CCCCCCCCCCCCCCCCCCN(CCC(=O)O)CCC(=O)O,O=C(COCC1CO1)OCCCCC1CO1,328.7984
O=C(O)CCCCCCN1CCC(NC(=O)COCCC(=O)O)CC1,CCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,320.9849
CN(CCN1CCOCC1)CC(=O)N(CCC(=O)O)CCC(=O)O,CCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,288.3839
O=C(O)COCCCCCCCN1CCC(CCOCC(=O)O)CC1,CCCCCOc1cc(CN(CCCOCC2CO2)CCOCC2CO2)ccc1OC,311.9396
O=C(O)COCCCCCCCCCCCCCCCCCCOCC(=O)O,c1ccc(OCc2cccc(CN(CCCOCC3CO3)CCOCC3CO3)c2)cc1,311.9530
O=C(O)COCCN(CCOCC(=O)O)CCN1CCOCC1,COCCCCCN(CC1CO1)CC1CO1,331.1274
CCCOc1ccc(CN(CCOCC(=O)O)CCOCC(=O)O)c(C)c1,CCCCCOc1cc(CN(CCCOCC2CO2)CCOCC2CO2)ccc1OC,305.7567
O=C(O)CCCCCCCCCCCCCCCCCC(=O)O,Cc1ccc(CCN(CCOCC2CO2)CCOCC2CO2)cc1,297.4845
CC(C)N1CCN(CCCN(CCCOCC(=O)O)CCOCC(=O)O)CC1,C(CCCCC1CO1)CCCCC1CO1,331.1325
O=C(O)COCCCCNCCCCOCC(=O)O,COc1ccc(OC)c(CN(CCCCOCC2CO2)CCOCC2CO2)c1,318.8644
O=C(O)CCC(=O)OCCNCCOC(=O)CCC(=O)O,CCCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,317.2134
COc1ccc(CN(CCOCCOCC(=O)O)CCOCC(=O)O)cc1,CCCCCCCCCCCCCCCCCc1cc(OCC2CO2)cc(OCC2CO2)c1,311.6963
O=C(O)COCCCN(CCOCC(=O)O)CC1CCCCCC1,C(CNCCCOCC1CO1)COCC1CO1,324.3698
CCN(CCCOCC(=O)O)Cc1ccccc1CN(CC)CCCOCC(=O)O,Cc1ccc(CCN(CCOCC2CO2)CCOCC2CO2)cc1,323.0199
O=C(O)COCC(COCC(=O)O)NCc1ccccc1Oc1cccnc1,C(COCCOCCOCCOCC1CO1)OCCOCCOCCOCCOCC1CO1,311.9447
O=C(O)CCCOCC(=O)N1CCC(CNCCOCCC(=O)O)CC1,C(=CCCCCCCCCOCC1CO1)CCCCCCCCOCC1CO1,314.9831
O=C(O)COCCCN(CCCC1CCCCC1)CCOCC(=O)O,Cc1ccccc1CCCN(CCCOCC1CO1)CCOCC1CO1,326.0582
O=C(O)COCCCCCCCCCCCCCCCCCOCC(=O)O,COc1ccc(OCCCNC(COCC2CO2)COCC2CO2)cc1,321.6280
CN(CCCCOCC(=O)O)CCOCCOCC(=O)O,CN(C)c1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,297.2635
CCCCCCCCN(CCOCC(=O)O)CCN(CCCCCCCC)CCOCC(=O)O,CCc1cccc(CNCCc2ccccc2OCC2CO2)c1OCC1CO1,318.5844
CCCCCCCCCCCCCCCCCCN(CCC(=O)O)CCC(=O)O,C1CCC(CN(CC2CO2)CC2CO2)C1,300.0262
O=C(O)COCCCCCCCCCCCCCCCCCCOCC(=O)O,O=C(COCCC1CO1)NCCCNCCCCCC1CO1,310.6758
CCOc1cc(CCOCC(=O)O)ccc1OCCCOCC(=O)O,c1ccc(CN(CCOCCOCC2CO2)CCOCCOCC2CO2)cc1,309.4838
COC(=O)c1ccc(CN(CCOCC(=O)O)CCOCC(=O)O)cc1C,CCCCCCCCCCCN(CCOCC1CO1)CCOCC1CO1,311.5491
CCCCN(CCOCCOCC(=O)O)CCOCC(=O)O,c1ccc(COCCCCC(COCC2CO2)COCC2CO2)cc1,310.5402
CCCCCCCCCCCCCCCCCC(=O)N(CCOCC(=O)O)CCOCC(=O)O,COc1ccc(CN(CCCOCC2CO2)CCOCC2CO2)cc1,307.7296
CC(C)N1CCN(CCCN(CCC(=O)O)CCC(=O)O)CC1,C(CCOCC1CO1)CNCCCCOCC1CO1,304.5712
CCCCCCCCNC(CC(=O)O)C(=O)O,C(COCC1CO1)OCCN1CCN(CCOCCOCC2CO2)CC1,320.1378
CCN(CCCCOCC(=O)O)CCOCCOCC(=O)O,c1ccc(OCCCCOCC2CO2)c(CN2CCC(CCCOCC3CO3)CC2)c1,327.6762
